Indicador;Localidad;Ano;Valor
Número de homicidios CICRI;LA CANDELARIA;2010;4
Número de hurtos a personas;LA CANDELARIA;2010;367
Número de hurtos a vehículos;LA CANDELARIA;2010;11
Número de hurto a establecimientos de comercio;LA CANDELARIA;2010;48
Número de hurtos a residencias;LA CANDELARIA;2010;34
Número de lesiones comunes;LA CANDELARIA;2010;80
Número de homicidios CICRI;LOS MÁRTIRES;2010;49
Número de hurtos a personas;LOS MÁRTIRES;2010;553
Número de hurtos a vehículos;LOS MÁRTIRES;2010;87
Número de hurto a establecimientos de comercio;LOS MÁRTIRES;2010;96
Número de hurtos a residencias;LOS MÁRTIRES;2010;48
Número de lesiones comunes;LOS MÁRTIRES;2010;212
Número de lesiones comunes;OTROS;2010;0
Número de homicidios CICRI;PUENTE ARANDA;2010;34
Número de hurtos a personas;PUENTE ARANDA;2010;640
Número de hurtos a vehículos;PUENTE ARANDA;2010;244
Número de hurto a establecimientos de comercio;PUENTE ARANDA;2010;198
Número de hurtos a residencias;PUENTE ARANDA;2010;131
Número de lesiones comunes;PUENTE ARANDA;2010;224
Número de homicidios CICRI;RAFAEL URIBE URIBE;2010;74
Número de hurtos a personas;RAFAEL URIBE URIBE;2010;507
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2010;96
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2010;86
Número de hurtos a residencias;RAFAEL URIBE URIBE;2010;112
Número de lesiones comunes;RAFAEL URIBE URIBE;2010;449
Número de homicidios CICRI;SAN CRISTÓBAL;2010;96
Número de hurtos a personas;SAN CRISTÓBAL;2010;365
Número de hurtos a vehículos;SAN CRISTÓBAL;2010;133
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2010;79
Número de hurtos a residencias;SAN CRISTÓBAL;2010;123
Número de lesiones comunes;SAN CRISTÓBAL;2010;456
Número de homicidios CICRI;SANTA FE;2010;61
Número de hurtos a personas;SANTA FE;2010;1435
Número de hurtos a vehículos;SANTA FE;2010;24
Número de hurto a establecimientos de comercio;SANTA FE;2010;193
Número de hurtos a residencias;SANTA FE;2010;110
Número de lesiones comunes;SANTA FE;2010;357
Número de homicidios CICRI;SUBA;2010;123
Número de hurtos a personas;SUBA;2010;1956
Número de hurtos a vehículos;SUBA;2010;363
Número de hurto a establecimientos de comercio;SUBA;2010;370
Número de hurtos a residencias;SUBA;2010;1032
Número de lesiones comunes;SUBA;2010;1267
Número de hurtos a personas;SUMAPAZ;2010;0
Número de lesiones comunes;SUMAPAZ;2010;0
Número de homicidios CICRI;TEUSAQUILLO;2010;8
Número de hurtos a personas;TEUSAQUILLO;2010;898
Número de hurtos a vehículos;TEUSAQUILLO;2010;159
Número de hurto a establecimientos de comercio;TEUSAQUILLO;2010;233
Número de hurtos a residencias;TEUSAQUILLO;2010;287
Número de lesiones comunes;TEUSAQUILLO;2010;120
Número de homicidios CICRI;TUNJUELITO;2010;33
Número de hurtos a personas;TUNJUELITO;2010;283
Número de hurtos a vehículos;TUNJUELITO;2010;44
Número de hurto a establecimientos de comercio;TUNJUELITO;2010;71
Número de hurtos a residencias;TUNJUELITO;2010;66
Número de lesiones comunes;TUNJUELITO;2010;213
Número de homicidios CICRI;USAQUÉN;2010;76
Número de hurtos a personas;USAQUÉN;2010;1236
Número de hurtos a vehículos;USAQUÉN;2010;276
Número de hurto a establecimientos de comercio;USAQUÉN;2010;270
Número de hurtos a residencias;USAQUÉN;2010;637
Número de lesiones comunes;USAQUÉN;2010;348
Número de homicidios CICRI;USME;2010;75
Número de hurtos a personas;USME;2010;263
Número de hurtos a vehículos;USME;2010;29
Número de hurto a establecimientos de comercio;USME;2010;66
Número de hurtos a residencias;USME;2010;160
Número de lesiones comunes;USME;2010;616
Número de homicidios CICRI;ANTONIO NARIÑO;2011;12
Número de hurtos a personas;ANTONIO NARIÑO;2011;387
Número de hurtos a vehículos;ANTONIO NARIÑO;2011;117
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2011;94
Número de hurtos a residencias;ANTONIO NARIÑO;2011;66
Número de lesiones comunes;ANTONIO NARIÑO;2011;193
Número de homicidios CICRI;BARRIOS UNIDOS;2011;23
Número de hurtos a personas;BARRIOS UNIDOS;2011;773
Número de hurtos a vehículos;BARRIOS UNIDOS;2011;114
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2011;194
Número de hurtos a residencias;BARRIOS UNIDOS;2011;185
Número de lesiones comunes;BARRIOS UNIDOS;2011;218
Número de homicidios CICRI;BOSA;2011;148
Número de hurtos a personas;BOSA;2011;917
Número de hurtos a vehículos;BOSA;2011;154
Número de hurto a establecimientos de comercio;BOSA;2011;153
Número de hurtos a residencias;BOSA;2011;315
Número de lesiones comunes;BOSA;2011;1107
Número de homicidios CICRI;CHAPINERO;2011;21
Número de hurtos a personas;CHAPINERO;2011;1747
Número de hurtos a vehículos;CHAPINERO;2011;87
Número de hurto a establecimientos de comercio;CHAPINERO;2011;314
Número de hurtos a residencias;CHAPINERO;2011;258
Número de lesiones comunes;CHAPINERO;2011;240
Número de homicidios CICRI;CIUDAD BOLÍVAR;2011;299
Número de hurtos a personas;CIUDAD BOLÍVAR;2011;642
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2011;79
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2011;96
Número de hurtos a residencias;CIUDAD BOLÍVAR;2011;221
Número de lesiones comunes;CIUDAD BOLÍVAR;2011;1476
Número de homicidios CICRI;ENGATIVÁ;2011;80
Número de hurtos a personas;ENGATIVÁ;2011;1319
Número de hurtos a vehículos;ENGATIVÁ;2011;420
Número de hurto a establecimientos de comercio;ENGATIVÁ;2011;282
Número de hurtos a residencias;ENGATIVÁ;2011;422
Número de lesiones comunes;ENGATIVÁ;2011;489
Número de homicidios CICRI;FONTIBÓN;2011;34
Número de hurtos a personas;FONTIBÓN;2011;1011
Número de hurtos a vehículos;FONTIBÓN;2011;140
Número de hurto a establecimientos de comercio;FONTIBÓN;2011;163
Número de hurtos a residencias;FONTIBÓN;2011;232
Número de lesiones comunes;FONTIBÓN;2011;326
Número de homicidios CICRI;KENNEDY;2011;281
Número de hurtos a personas;KENNEDY;2011;1586
Número de hurtos a vehículos;KENNEDY;2011;538
Número de hurto a establecimientos de comercio;KENNEDY;2011;290
Número de hurtos a residencias;KENNEDY;2011;501
Número de lesiones comunes;KENNEDY;2011;1101
Número de homicidios CICRI;LA CANDELARIA;2011;4
Número de hurtos a personas;LA CANDELARIA;2011;350
Número de hurtos a vehículos;LA CANDELARIA;2011;10
Número de hurto a establecimientos de comercio;LA CANDELARIA;2011;47
Número de hurtos a residencias;LA CANDELARIA;2011;32
Número de lesiones comunes;LA CANDELARIA;2011;89
Número de homicidios CICRI;LOS MÁRTIRES;2011;57
Número de hurtos a personas;LOS MÁRTIRES;2011;675
